country,region,body,trust_or_site_name,address,postcode
united kingdom,South West,Somerset STP,Somerset NHS Foundation Trust,"Musgrove Park Hospital, Parkfield Drive, Taunton",TA1 5DA
united kingdom,South West,Gloucestershire STP,Gloucester Healthcare NHS Trust,Edward Jenner Court ,GL3 4AW
united kingdom,South West ,"Bath and North East Somerset, Swindon and Wiltshire STP",Avon and Wiltshire Mental Health Partnership NHS Trust ,Bath NHS House ,BA1 3QE
united kingdom,South West ,Devon STP,South Western Ambulance Service NHS Foundation Trust ,"Abbey Court, Exeter",EX2 7HY
united kingdom,East of England,NHS Basildon and Brentwood CCG,Brentwood Centre,"Doddinghurst Road, Pilgrims Hatch, Brentwood",CM15 9NN
united kingdom,East of England,NHS Basildon and Brentwood CCG,Emmanuel Church Hall,"Laindon Road, Billericay",CM12 9LD
united kingdom,East of England,NHS Basildon and Brentwood CCG,George Hurd Centre,"Audley Way, Basildon",SS14 2FL
united kingdom,East of England,NHS Basildon and Brentwood CCG,The Nevendon Centre,"Nevendon Road, Wickford",SS12 0QG
united kingdom,East of England,NHS Bedfordshire CCG,Guru Nanak Gurdwara,"84 Ford End Road, Bedford",MK40 4JX
united kingdom,East of England,NHS Bedfordshire CCG,"Leagrave Centre
","Strangers Way, Luton",LU4 9ND
united kingdom,East of England,NHS Bedfordshire CCG,Leighton Buzzard Rugby Club ,"Wrights Meadow, leighton Road, Stanbridge, Leighton Buzzard",LU7 9HR
united kingdom,East of England,NHS Bedfordshire CCG,Priory Gardens Surgery,"28-34 Church Street, Dunstable",LU6 3SU
united kingdom,East of England,NHS Bedfordshire CCG,Shefford Health Centre,"Robert Lucas Drive, Hitchin Road, Shefford",SG17 5FS
united kingdom,East of England,NHS Bedfordshire CCG,Toddington Medical Centre,Luton Road,LU5 6DE
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Alconbury Practice ,"School Lane, Alconbury, Huntingdon",PE28 4EQ
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,BMC @ Werrington Surgery,"97 Church Street, Werrington",PE4 6QF
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Cathedral Medical Centre,"Lynn Road, Ely",CB6 1DN
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Charles Hicks Centre,"75 Ermine Street, Huntingdon",PE29 3EZ
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Clay Farm Medical Centre,"Community Centre, Hobson Square, Trumpington",CB2 9FN
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Cornford House Surgery,"364 Cherry Hinton Rd, Cambridge",CB1 8BA
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Doddington Hospital,"Benwick Road,  Doddington",PE15 0UG
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,East Barnwell Health Centre,"Ditton Lane, Cambridge",CB5 8SP
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Granta Medical Practices,London Road Sawston Cambridge,CB22 3HU
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Huntingdon Road Surgery,"1 Huntingdon Road, Cambridge",CB3 0DB
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Little Paxton,"The Surgery, 40 High street, Little Paxton",PE19 6EY
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Milton Community Hall,"Milton Surgery, 87 Coles Road, Milton Cambridge ",CB24 6BL
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,North Brink Practice,"7 North Brink, Wisbech",PE13 1JU
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Over conference & Community Centre,"Over Community Hall, 16 The Doles, Over",CB24 5NW
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Royston Health Centre,"Melbourn Street, Royston",SG8 7BS
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Stanground Surgery,"Whittlesey Road, Stanground, Peterborough",PE2 8RB
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Staploe Medical Centre,"Brewhouse Lane, Soham, Ely. Cambridgeshire",CB7 5JD
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,The Fleet Community Centre in conjuction with Greater Peterborough Network,"Fleet Way, Old Fletton, Peterborough, Cambridgeshire",PE2 8DL
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,The Jenner Health Centre ,"Turners Lane, Peterborough",PE7 1EJ
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,The Old Exchange Surgery,"East Street, St Ives",PE27 5PB
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Thistlemoor Medical Centre,"6-16 Thistlemoor Road, Peterborough",PE1 3HP
united kingdom,East of England,NHS Cambridgeshire and Peterborough CCG,Thomas Walker Surgery,"Thomas Walker Princes Street, Peterborough",PE1 2QP
united kingdom,East of England,NHS Castle Point and Rochford CCG,Audley Mills Surgery,57 Eastwood Road Rayleigh,SS6 7JF
united kingdom,East of England,NHS Castle Point and Rochford CCG,Benfleet Clinic,"513 High Rd, South Benfleet",SS7 5AD
united kingdom,East of England,NHS Castle Point and Rochford CCG,Puzey Family Practice,"Southwell House, Back Lane, Rochford",SS4 1AY
united kingdom,East of England,NHS Castle Point and Rochford CCG,The Paddocks Community Centre,"Long Road, Canvey Island, Essex",SS8 0JA
united kingdom,East of England,NHS East and North Hertfordshire CCG,"Barclay Hall, Hoddesdon Parish Church","Pauls Lane, Hoddesdon",EN11 8TR
united kingdom,East of England,NHS East and North Hertfordshire CCG,Bishops Stortford Football Club,"BSFC, Dunmow Road, Bishop's Stortford, Herts",CM23 5RG
united kingdom,East of England,NHS East and North Hertfordshire CCG,Halsey Hall,"Turners Hill, Cheshunt",EN8 8NJ
united kingdom,East of England,NHS East and North Hertfordshire CCG,Hertford Theatre,"The Wash, Hertford",SG14 1PS
united kingdom,East of England,NHS East and North Hertfordshire CCG,Moors Walk Surgery,"123 Moors Walk, Welwyn Garden City, Herts",AL7 2BQ
united kingdom,East of England,NHS East and North Hertfordshire CCG,Parkway Surgery,Welwyn Garden City,AL8 6HG
united kingdom,East of England,NHS East and North Hertfordshire CCG,Roebuck Surgery,"Broadwater Crescent, Stevenage",SG2 8HW
united kingdom,East of England,NHS East and North Hertfordshire CCG,St Nicholas Health Centre,"57 Canterbury Way, Stevenage Herts",SG1 4QH
united kingdom,East of England,NHS East and North Hertfordshire CCG,Stockwell Lodge Medical Centre-Annexe site ,"Stockwell Lodge Medical Centre- Rosedale Way, Cheshunt",EN7 6HL
united kingdom,East of England,NHS East and North Hertfordshire CCG,"Units 6, 7 and 7a","Units 6, 7 and 7a, Business Park East, Letchworth",SG6 2TS
united kingdom,East of England,NHS East and North Hertfordshire CCG,Ware Drill Hall,"Ware Drill Hall, 17 Armwell End, Ware",SG12 9HP
united kingdom,East of England,NHS Herts Valley CCG,Attenborough Surgery,"Bushey Medical Centre, London Road, Bushey",WD23 2NN 
united kingdom,East of England,NHS Herts Valley CCG,Bridgewater Surgeries,"Bridgewater House, 7 Printers Ave, Watford",WD18 7QR
united kingdom,East of England,NHS Herts Valley CCG,Club Batchwood,"Batchwood Drive, St Albans",AL3 5XA
united kingdom,East of England,NHS Herts Valley CCG,Harpenden Public Halls,"Southdown Road, Harpenden",AL5 1TE
united kingdom,East of England,NHS Herts Valley CCG,Manor View Practice,"Bushey Medical Centre, London Road, Bushey",WD23 2NN 
united kingdom,East of England,NHS Herts Valley CCG,Sheepcot Medical Centre,"6 Cunningham Way, Watford",WD25 7NL
united kingdom,East of England,NHS Herts Valley CCG,The Colne Practice,"99A Uxbridge Road, Rickmansworth",WD3 7DJ
united kingdom,East of England,NHS Herts Valley CCG,Watford Health Centre," 21 Colne House, Upton Road, Watford",WD180JP
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Constable Country Medical Practice,"East Bergholt Surgery, Health Road, East Bergholt, Colchester",CO7 6RT
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Debenham Leisure Centre,"Gracechurch Street, Stowmarket",IP14 6BL
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Hadleigh Health Centre,"Market Place, Hadleigh, Ipswich",IP7 5DN
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Ivry Street Medical Practice,"5 Ivry Street, Ipswich",IP1 3QW
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Saxmundham Health,"Lambsale Meadow, Saxmundham",IP17 1DY
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Sizewell Sports & Social Club,"King Georges Avenue, Leiston, Suffolk, ",IP16 4JX
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,The Grove Medical Centre,"Grove Road, Felixstowe",IP11 9GA
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,The Mix ,"127 Ipswich Street, Stowmarket ",IP14 1BB
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Trinity Park Conference Centre,"Trinity Park, Felistowe Road, Ipswich",IP3 8UH
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Two Rivers Medical Centre,"30 Woodbridge Road East, Ipswich",IP4 5PB
united kingdom,East of England,NHS Ipswich and East Suffolk CCG,Woodbridge Community Hall,"Station Road, Woodbridge",IP12 4AU
united kingdom,East of England,NHS Luton CCG,Bushmead Medical Centre,"131 Bushmead Road, Bushmead, Luton",LU2 7YT
united kingdom,East of England,NHS Luton CCG,Kingsway Health Centre,"385 Dunstable Road, Luton",LU4 8BY
united kingdom,East of England,NHS Mid and South Essex CCG,Holy Trinity R C Parish," 71 Wickhay, Basildon",SS15 5AD
united kingdom,East of England,NHS Mid Essex CCG,Crouch Vale Medical Centre,"Burnham Road, South Woodham Ferrer",CM3 5QP
united kingdom,East of England,NHS Mid Essex CCG,Danbury Medical Centre,"52 Maldon Rd, Danbury, Chelmsford",CM3 4QL
united kingdom,East of England,NHS Mid Essex CCG,Fern House Surgery,"125-9 Newland Street, Witham",CM8 1BH
united kingdom,East of England,NHS Mid Essex CCG,Maldon District Council Offices,Maldon District Council Offices,CM9 5DL
united kingdom,East of England,NHS Mid Essex CCG,Melbourne House Surgery,"Parkside Medical Centre, Melbourne Avenue, Chelmsford",CM1 2DY
united kingdom,East of England,NHS Mid Essex CCG,Pump House Surgery,"Nonancourt Way, Earls Colne, Essex, ",CO6 2SW
united kingdom,East of England,NHS Mid Essex CCG,Rivermead Gate Medical Practice ,123 Rectory Lane Chelmsford,CM1 1TR
united kingdom,East of England,NHS Mid Essex CCG,St Michaels Hospital,St. Michaels’ Hospital,CM7 2AE
united kingdom,East of England,NHS Mid Essex CCG,Whitley House Surgery ,"Writtle Road, Chelmsford, Essex",CM1 3RW
united kingdom,East of England,NHS Milton Keynes CCG,Asplands Medical Centre,"Asplands Close, Woburn Sands",MK17 8QP
united kingdom,East of England,NHS Milton Keynes CCG,Newport Pagnell Medical Centre,"Queens Avenue, Newport Pagnell, Milton Keynes",MK16 8QT
united kingdom,East of England,NHS Milton Keynes CCG,Westcroft Health Centre,"1 Savill Lane, Milton Keynes",MK4 4EN
united kingdom,East of England,NHS Milton Keynes CCG,Whaddon Medical Centre,"Fern Grove, Milton Keynes",MK2 3HN
united kingdom,East of England,NHS Milton Keynes CCG,Whitehouse Medical Centre," Dorset Way, Whitehouse, Milton Keynes",MK8 1BP
united kingdom,East of England,NHS Norfolk and Waveney CCG,Cringleford Surgery ,"Cantley Lane, Cringleford, Norwich, Norfolk			",NR4 6TA
united kingdom,East of England,NHS Norfolk and Waveney CCG,Drayton Surgery ,"8 Manor Farm Close, Drayton, Norwich",NR8 6EE
united kingdom,East of England,NHS Norfolk and Waveney CCG,"Fakenham Medical Practice 		","Meditrina House, Trinity Road, Fakenham",NR21 8SY
united kingdom,East of England,NHS Norfolk and Waveney CCG,Falkland Surgery,"Falkland Way, Bradwell",NR31 8RW
united kingdom,East of England,NHS Norfolk and Waveney CCG,Gurney Surgery,"40 Fishergate, Norwich",NR3 1SE
united kingdom,East of England,NHS Norfolk and Waveney CCG,Hoveton Village Hall,Hoveton,NR12 8DU
united kingdom,East of England,NHS Norfolk and Waveney CCG,Kirkley Mill,"Clifton Road, Lowestoft		",NR33 0HF
united kingdom,East of England,NHS Norfolk and Waveney CCG,Lionwood Medical Practice ,"30a Wellesley Avenue North, Norwich		",NR1 4NU
united kingdom,East of England,NHS Norfolk and Waveney CCG,Manor Farm Medical Centre,"Mangate Street, Swaffham",PE37 7QN
united kingdom,East of England,NHS Norfolk and Waveney CCG,Poringland Community Centre,"Overtons Way, Poringland, Norwich",NR14 7WB
united kingdom,East of England,NHS Norfolk and Waveney CCG,Rossi's leisure centre,"Tungate, North Walsham",NR28 0JQ
united kingdom,East of England,NHS Norfolk and Waveney CCG,Sheringham Medical Practice,"The Health Centre, Cromer Road",NR26 8RT
united kingdom,East of England,NHS Norfolk and Waveney CCG,Snettisham Surgery,"Common Road, Snettisham, Norfolk",PE31 7PE
united kingdom,East of England,NHS Norfolk and Waveney CCG,Sole Bay Health Centre,"Teal Close, Reydon, Southwold, ",IP18 6GY
united kingdom,East of England,NHS Norfolk and Waveney CCG,St James Medical Practice,"County Court Road, Kings Lynn, Norfolk			",PE30 5SY
united kingdom,East of England,NHS Norfolk and Waveney CCG,Swanton Morley Surgery ,"Dereham Road, Swanton Morley, Norfolk 		",NR20 4LT
united kingdom,East of England,NHS Norfolk and Waveney CCG,Terrington St Johns Surgery ,"Main Road, Wisbech		",PE14 7RR
united kingdom,East of England,NHS Norfolk and Waveney CCG,The Market Surgery,"26 Norwich Road, Aylsham",NR11 6BW
united kingdom,East of England,NHS Norfolk and Waveney CCG,Thetford Healthy Living Centre,"Croxton Road, Thetford",IP24 1JD
united kingdom,East of England,NHS North East Essex CCG,Colchester Primary Care Centre,"Turner Road, Mile End, Colchester",CO4 5JR
united kingdom,East of England,NHS North East Essex CCG,Fryatt Hospital,"419 Main Road, Harwich",CO12 4EX
united kingdom,East of England,NHS North East Essex CCG,St Helena Tendring Centre,"17 Jackson Rd, Clacton-on-Sea",CO15 1JP
united kingdom,East of England,NHS Southend CCG,Belle Vue Baptist Church,"Belle Vue Ave, Southend-on-Sea",SS1 2QZ
united kingdom,East of England,NHS Southend CCG,Highlands Surgery,"1446 London Road, Leigh-on-Sea",SS9 2UT
united kingdom,East of England,NHS Southend CCG,Salvation Army,"Frobisher Way, Shoeburyness",SS3 8UT
united kingdom,East of England,NHS Southend CCG,"Saxon Hall
","Aviation Way, Southend-on-Sea",SS2 6UN
united kingdom,East of England,NHS Southend CCG,Valkyrie Primary Care Centre,"1st floor, Valkyrie Primary Care Centre, 50 Valkyrie Road",SS0 8BU
united kingdom,East of England,NHS Thurrock CCG,Chadwell Medical Centre,"1 Brentwood Road, Grays",RM16 4JD
united kingdom,East of England,NHS Thurrock CCG,Stifford Clays Health Centre,"Crammavill Street, Grays",RM16 2AP
united kingdom,East of England,NHS West Essex CCG,Buckhurst Way Clinic,"49 Buckhurst Way, Buckhurst Hill",IG9 6HP
united kingdom,East of England,NHS West Essex CCG,Lister Medical Centre,"Lister House, Abercrombie Way, Harlow",CM18 6YJ
united kingdom,East of England,NHS West Essex CCG,Lord Butler Lesiure Centre,"Peaslands Road, Saffron Walden",CB11 3EG
united kingdom,East of England,NHS West Essex CCG,St Margaret's Hospital,"Spencer Close, The Plain, Epping",CM16 6TN
united kingdom,East of England,NHS West Essex CCG,Stansted Surgery,"1st Floor Castle Maltings, Lower Street, Stansted Mountfitchet",CM24 8XG
united kingdom,East of England,NHS West Suffolk CCG,Cornard Surgery,"67 Pot Kiln Road, Great Cornard, Sudbury",CO10 0DH
united kingdom,East of England,NHS West Suffolk CCG,Jubilee Centre,"Jubilee Centre, Recreation Way, Mildenhall",IP28 7HG
united kingdom,East of England,NHS West Suffolk CCG,Lavenham Branch Surgery,"36 Church St,  Lavenham",CO10 9SA
united kingdom,East of England,NHS West Suffolk CCG,The Epicentre,"Enterprise Way, Haverhill Research Park, Withersfield, Haverhill",CB9 7LR
united kingdom,East of England,NHS West Suffolk CCG,Woolpit Health Centre,"Heath Road, Woolpit, Bury St Edmunds",IP30 9QU
united kingdom,East of England,NHS West Suffolk CCG ,Swan Surgery,"Northgate Business Park, Bury St Edmunds",IP33 1AE
united kingdom,East of England ,NHS Bedfordshire CCG,Kings House,245 Ampthill Road,MK42 9AZ
united kingdom,East of England ,NHS Cambridgeshire and Peterborough CCG,Dumbelton Medical Centre,"Barford Road, Chapman Way, St.Neots",PE19 2HD
united kingdom,East of England ,NHS East and North Hertfordshire CCG,"Bellingham Common Room, University of Hertfordshire Education Corporation","Bellingham Common Room, College Road Campus Hatfield",AL10 9UW
united kingdom,East of England ,NHS East and North Hertfordshire CCG,Courtenay House Surgery (part of Bancroft Medical Centre),"Courtenay House Surgery, 30 Bancroft, Hitchin",SG5 1LH
united kingdom,East of England ,NHS Herts Valley CCG,Allum Hall," 2 Allum Ln, Elstree, Borehamwood",WD6 3PJ
united kingdom,East of England ,NHS Herts Valley CCG,Dacorum Locality ,"578 - 599, Maxted Road, Hemel Hempstead",HP2 7DX
united kingdom,East of England ,NHS Luton CCG,Medici Medical Centre,"3 Windsor Street, Luton",LU1 3UA
united kingdom,East of England ,NHS Milton Keynes CCG,Central MK Medical Practice,68 Bradwell Common Boulevard,MK13 8RN
united kingdom,East of England ,NHS Milton Keynes CCG,Oakridge Medical Centre,"30 Texel Close, Oakridge Park, Milton Keynes",MK14 6GL
united kingdom,East of England ,NHS Norfolk and Waveney CCG,Bowthorpe Health Centre ,"Wendene, Norwich		",NR5 9HA
united kingdom,East of England ,NHS Norfolk and Waveney CCG,Park Surgery,4 Alexandra Road,NR30 2HW
united kingdom,London,NHS Barking and Dagenham CCG,Broadway Theatre,"Broadway, Barking",IG11 7LS
united kingdom,London,NHS Barking and Dagenham CCG,Parsloes Surgery,"Parsloes Surgery, 370 Parsloes Ave, Dagenham",RM9 5QP
united kingdom,London,NHS Brent CCG,Park Royal Medical Practice,"Central Middlesex Hospital, Acton Lane, London",NW10 7NS
united kingdom,London,NHS Brent CCG,Wembley Centre for Health and Care,"116 Chaplin Road, Wembley, London",HA0 4UZ
united kingdom,London,NHS City and Hackney CCG,Bocking Centre,"Bocking Street, London",E8 3RU
united kingdom,London,NHS City and Hackney CCG,John Scott Health Centre,"John Scott Health Centre,Green Lanes, London",N4 2NU
united kingdom,London,NHS Hammersmith and Fulham CCG,Richford Gate Medical Centre,"Richford Street, Shepherds Bush, London",W6 7HY
united kingdom,London,NHS Harrow CCG,The Hive,"The Hive, Camrose Ave, London",HA8 6AG
united kingdom,London,NHS Havering CCG,Hornchurch Library,"44 North Street, London",RM11 1TB
united kingdom,London,NHS Havering CCG,Victoria Hospital (Raphael House),"13 Petitts Lane, Romford",RM1 4HL
united kingdom,London,NHS Hillingdon CCG,Navnat Centre ,"The NavNat Centre, Printing House Lane, Hayes",UB3 1AR
united kingdom,London,NHS Hounslow CCG,Heart of Hounslow Centre for Health,"92 Bath Road, Hounslow, London",TW3 3LN
united kingdom,London,NHS Hounslow CCG,Thornbury Road Health Centre,"Thornbury Road Health Centre, Thornbury Road, Isleworth",TW7 4HQ
united kingdom,London,NHS Newham CCG ,Liberty Bridge (Sir Ludwig Guttman),"40 Liberty Bridge Rd, East Village, London",E20 1AS
united kingdom,London,NHS North Central London CCG,Belsize Priory Health Centre,"208 Belsize Rd, London",NW6 4DX
united kingdom,London,NHS North Central London CCG,Bingfield ,8 Bingfield St,N1 0AL
united kingdom,London,NHS North Central London CCG,Bloomsbury Surgery,"1 Handel Street, London",WC1N 1PD
united kingdom,London,NHS North Central London CCG,Bounds Green Group Practice,"Gordon Road, London",N11 2PF
united kingdom,London,NHS North Central London CCG,Carlton House,"28 Tenniswood Road, Enfield, London",EN1 3LL
united kingdom,London,NHS North Central London CCG,Evergreen Surgery,"Evergreen Primary Care Centre, 1 Smythe Close, Edmonton, London",N9 0TW
united kingdom,London,NHS North Central London CCG,Hanley Primary Care Centre,"51 Hanley Road, London",N4 3DU
united kingdom,London,NHS North Central London CCG,Lane End Medical Group,"2 Penshurst Gardens, Edgware",HA8 9GJ
united kingdom,London,NHS North Central London CCG,Lordship Lane Health Centre,239 Lordship Lane,N17 6AA
united kingdom,London,NHS North Central London CCG,Oaklodge Medical Centre,"234 Burnt Oak Broadway, Burnt Oak, Edgeware, London",HA8 0AP
united kingdom,London,NHS North Central London CCG,Peckwater Centre,"6 Peckwater St, Kentish Town, London",NW5 2UP
united kingdom,London,NHS North Central London CCG,Recreation Centre on Royal Free Hospital Site ,"Recreation Centre, Royal Free Hospital, Pond St, Hampstead  London",NW3 2QG
united kingdom,London,NHS North Central London CCG,Temple Fortune Health Centre,"23 Temple Fortune Lane, London",NW11 7TE
united kingdom,London,NHS North Central London CCG,Watling Medical Centre,"108 Watling Avenue, Burnt Oak, Edgware.",HA8 0NR
united kingdom,London,NHS North Central London CCG,Wentworth Medical Practice,"38 Wentworth Ave, London",N3 1YL
united kingdom,London,NHS North Central London CCG,Winchmore Hill Practice,"808 Green Lanes, London",N21 2SA
united kingdom,London,NHS North Central London CCG ,Dr Azim and Partners,67 Elliot Road,NW4 3EB
united kingdom,London,NHS North West London CCG ,Byron Hall,Christchurch Avenue ,HA3 5BD
united kingdom,London,NHS North West London CCG ,Ealing Town Hall,"New Broadway, Ealing, London",W5 2BY
united kingdom,London,NHS North West London CCG ,Feltham Assembly Hall ,Feltham Park Hounslow Road Feltham ,TW14 9DN
united kingdom,London,NHS North West London CCG ,Kingsbury Mandir,"Kingsbury Rd, London",NW9 8AQ
united kingdom,London,NHS North West London CCG ,Parson's Green Health Centre,5-7 Parson's Green ,SW6 4UL
united kingdom,London,NHS North West London CCG ,South Westminster Centre for Health,"82 St John's Wood Rd, St John's Wood, London",SW1P 2PF
united kingdom,London,NHS North West London CCG ,St. Charles Centre for Health and Wellbeing,"Exmoor Street, Ladbroke Grove, London",W10 6DZ
united kingdom,London,NHS North West London CCG ,Swaminarayan School - Neasden Temple,"105-119 Brentfield Rd, London ",NW10 8LD
united kingdom,London,NHS North West London CCG ,White City Community Centre,India Way  ,W12 7QT
united kingdom,London,NHS North West London CCG ,Willesden Centre for Health & Care ,"Robson Ave, London",NW10 3RY
united kingdom,London,NHS North West London CCG ,Young People Centre,"Bury Street, Ruislip",HA4 7SX
united kingdom,London,NHS Redbridge CCG,Fullwell Cross Medical Centre,"1 Tomswood Hill, Barkinside, London",IG6 2HG
united kingdom,London,NHS Redbridge CCG,Redbridge Town Hall,"128-142 High Road, Ilford, London",IG1 1DD
united kingdom,London,NHS Redbridge CCG,Sir James Hawkey Hall,"Broomhill Road, Woodford Green, London",IG8 0BG
united kingdom,London,NHS South East London CCG,Baldry Gardens Health Centre,"293 Streatham High Road, London",SW16 3NP
united kingdom,London,NHS South East London CCG,Beckenham Beacon,"379 Croydon Road, Beckenham, Kent",BR3 3FD
united kingdom,London,NHS South East London CCG,Bursted Wood Surgery,"219 Erith Rd, Barnehurst, Bexleyheath",DA7 6HZ
united kingdom,London,NHS South East London CCG,Downham Health and Leisure Centre,"5-7 Moorside Road, Downham",BR1 5EP
united kingdom,London,NHS South East London CCG,Hetherington Group Practice,"18 Hetherington Road,  London",SW4 7NU
united kingdom,London,NHS South East London CCG,"London Lane Clinic, Kinnaird House","The London Lane Clinic, Kinnaird House, 37-39 London Ln, Bromley",BR1 4HB
united kingdom,London,NHS South East London CCG,"Montgomery Hall, Kennington","58 Kennington Oval, London",SE11 5SW
united kingdom,London,NHS South East London CCG,Oaks Park Medical Centre,"17 Oakfield Road, Penge",SE20 8QA
united kingdom,London,NHS South East London CCG,Orpington Health and Wellbeing Centre,"19 Homefield Rise, Orpington",BR6 0FE
united kingdom,London,NHS South East London CCG,Paxton Green Group Practice,"1 Alleyn Park, London",SE21 8AU
united kingdom,London,NHS South East London CCG,Plumstead Health Centre,"Tewson Road, London",SE18 1BH
united kingdom,London,NHS South East London CCG,Queen Marys Hospital,"Frognal Avenue, Sidcup",DA14 6LT
united kingdom,London,NHS South East London CCG,St Edwards Church Hall,"St Edwards Church Hall, St Keverne Road, London",SE9 4AQ
united kingdom,London,NHS South East London CCG,St Johns Medical Centre,"56-60 Loampit Hill, London",SE13 7SX
united kingdom,London,NHS South East London CCG,Sydenham Green Health Centre,"26 Holmshaw Close, London",SE26 4TH
united kingdom,London,NHS South East London CCG,Tessa Jowell Health Centre,"72H East Dulwich Grove, London",SE22 8EY
united kingdom,London,NHS South East London CCG,West Wickham & Shirley Baptist Church,"West Wickham & Shirley Baptist Church, Wickham Road, Shirley, Croydon",CR0 8EH
united kingdom,London,NHS South East London CCG ,Artesian Building,"96 Alscot Rd, Bermondsey, London",SE1 3GG
united kingdom,London,NHS South East London CCG ,Hurley Clinic,"Ebenezer House, Kennington Lane, London",SE11 4HJ
united kingdom,London,NHS South West London CCG,Balham Health Centre,"120 Bedford Hill, Wandsworth, London",SW12 9HS
united kingdom,London,NHS South West London CCG,Essex House Surgery,"Station Road, London",SW13 0LW
united kingdom,London,NHS South West London CCG,Fairfield Halls ,"Park Ln, Croydon",CR9 1DG
united kingdom,London,NHS South West London CCG,Fairhill Medical Practice  ,"University Medial Centre, Penrhyn Road, Kingston Upon Thames",KT1 2EE
united kingdom,London,NHS South West London CCG,Gosbury Hill Surgery,"1 Gosbury Hill, Chessington",KT9 1BT
united kingdom,London,NHS South West London CCG,Hampton Wick Surgery,"Tudor House, 26 Upper Teddington Road , Kingston",KT1 4DY
united kingdom,London,NHS South West London CCG,Keston Medical Practice,"Purley War Memorial Hospital, 856 Brighton Road, Purley, Surrey",CR8 2YL
united kingdom,London,NHS South West London CCG,Mitcham Lane Baptist Church,230 Mitcham Lane,SW16 6NT
united kingdom,London,NHS South West London CCG,New Malden United Reformed Church,"New Malden United Reformed Church, Malden Rd, New Malden",KT3 6DN
united kingdom,London,NHS South West London CCG,Nonsuch Mansion,"Nonsuch Park,Ewell Road, Sutton",SM3 8AL
united kingdom,London,NHS South West London CCG,Old Coulsdon Congregational Church,"Coulsdon Road, Old Coulsdon, London",CR5 1EH
united kingdom,London,NHS South West London CCG,St Barnabas Church,"146 Lavenham Road, Southfields",SW18 5EP
united kingdom,London,NHS South West London CCG,St Pauls Church,"St Pauls Church, St Paul's Road, Thornton Heath",CR7 8NB
united kingdom,London,NHS South West London CCG,The Greenwood Centre,"1a School Road, Hampton Hill",TW12 1QL
united kingdom,London,NHS South West London CCG,The Junction Health Centre,"Arches 5-8, Clapham Junction Station, 5-8 Grant Road, London",SW11 2NU
united kingdom,London,NHS South West London CCG,The Wilson Hospital,"The Wilson Hospital, Cranmer Road, London",CR4 4LD
united kingdom,London,NHS South West London CCG,Valley Park Surgery,"Valley Park Surgery, Franklyn Way, Croyden, London",CR0 4YD
united kingdom,London,NHS Tower Hamlets CCG,Cable Street Surgery  ,"445 Cable St, London",E1W 3DE
united kingdom,London,NHS Tower Hamlets CCG,The Arts Pavillion,"Clinton Road, Mile End Park, London",E3 4QY
united kingdom,London,NHS West London CCG,Earls Court Health and Wellbeing Centre,"2B Hogarth Road, Earls Court, London",SW5 0PT
united kingdom,London ,NHS Newham CCG ,Essex Lodge,"94 Greengate Street, London",E13 0AS
united kingdom,London ,NHS North West London CCG ,Chiswick Health Centre,"Fisher's Lane, London", W4 1RX
united kingdom,London ,NHS North West London CCG ,Lords Cricket Ground  ,"St John's Wood Rd, St John's Wood, London",NW8 8QN
united kingdom,London ,NHS North West London CCG ,The Dominion Centre,"112 The Green, Southall, Middlesex",UB2 4BQ
united kingdom,London ,NHS North West London CCG ,Tithe Farm Sports & Social Club,"151 Rayners Ln, Harrow",HA2 0XH
united kingdom,London ,NHS North West London CCG ,Violet Melchett,"Violet Melchett, 30 Flood Walk",SW3 5RR
